zipcode,x,y
11355,998237,222261
11355,987201,202213
10028,1036854,215071
10028,998237,222261
10028,987201,202213
10002,1036854,215071
10002,998237,222261
10002,987201,202213
10473,1023428,239068
10473,930806,153593
10473,1001515,247151
10314,1023428,239068
10314,930806,153593
10314,1001515,247151
10033,1023428,239068
10033,930806,153593
10033,1001515,247151
11223,990337,159665
11223,985137,199783
10002,990337,159665
10002,985137,199783
11230,995811,164905
11230,1007328,239855
10451,995811,164905
10451,1007328,239855
10462,1025271,243323
10462,1003782,219005
10462,1002009,246774
10462,986166,202619
11102,1025271,243323
11102,1003782,219005
11102,1002009,246774
11102,986166,202619
10033,1025271,243323
10033,1003782,219005
10033,1002009,246774
10033,986166,202619
10002,1025271,243323
10002,1003782,219005
10002,1002009,246774
10002,986166,202619
10030,1000813,238791
10030,1040432,192058
10030,985184,199431
11433,1000813,238791
11433,1040432,192058
11433,985184,199431
10002,1000813,238791
10002,1040432,192058
10002,985184,199431
11217,989404,189637
11217,1004675,244782
11217,1002067,246235
11217,985996,199323
10452,989404,189637
10452,1004675,244782
10452,1002067,246235
10452,985996,199323
10032,989404,189637
10032,1004675,244782
10032,1002067,246235
10032,985996,199323
10002,989404,189637
10002,1004675,244782
10002,1002067,246235
10002,985996,199323
10013,983696,201397
10013,1017253,179964
10013,1001506,246537
10013,986218,199848
11207,983696,201397
11207,1017253,179964
11207,1001506,246537
11207,986218,199848
10032,983696,201397
10032,1017253,179964
10032,1001506,246537
10032,986218,199848
10002,983696,201397
10002,1017253,179964
10002,1001506,246537
10002,986218,199848
10462,1021388,250730
10462,1028026,204652
11375,1021388,250730
11375,1028026,204652
11218,990537,169415
10025,993082,230775
10468,1014403,256319
10468,1002589,247820
10468,982919,206986
10468,984683,201192
10033,1014403,256319
10033,1002589,247820
10033,982919,206986
10033,984683,201192
10014,1014403,256319
10014,1002589,247820
10014,982919,206986
10014,984683,201192
10013,1014403,256319
10013,1002589,247820
10013,982919,206986
10013,984683,201192
11420,1034052,187345
11420,1006336,179391
11212,1034052,187345
